Produktgruppe;Artikel;Bestellnummer;Kunde;Bestellmenge;Lieferung;Bestelldatum;Verfügbarkeit;Liefermenge;Wert
101;ABC;AI20001001;Muster AG;600;12.10.2010;14.09.2010;13.09.2010;600;4794
199;DEF;AI20001001;Muster AG;25;12.10.2010;14.09.2010;13.09.2010;25;612,5
101;GHI;AI20001001;Muster AG;1.200;12.10.2010;14.09.2010;13.09.2010;1.200;18000
201;XYZ;AI20001002;Test GmbH;100;27.09.2010;26.08.2010;24.08.2010;100;8000
200;UVW;AI20001111;No Name GbR;10;27.09.2010;30.08.2010;27.08.2010;10;125
101;ABC;AI20001005;Probe GmbH;35;28.09.2010;07.09.2010;04.09.2010;35;279,65
201;XYZ;AI20001005;Probe GmbH;120;28.09.2010;07.09.2010;03.09.2010;120;9600
101;ABC;AE10101678;Beispiel GmbH;250;28.09.2010;07.09.2010;03.09.2010;250;1997,5
199;DEF;AE10101678;Beispiel GmbH;200;28.09.2010;07.09.2010;03.09.2010;200;4900
101;GHI;AE10101678;Beispiel GmbH;100;28.09.2010;07.09.2010;03.09.2010;100;1500
201;XYZ;AE10101678;Beispiel GmbH;50;28.09.2010;07.09.2010;03.09.2010;50;4000
200;UVW;AE10101678;Beispiel GmbH;25;28.09.2010;07.09.2010;03.09.2010;25;312,5
101;ABC;AI20001003;Übung AG;2.000;15.10.2010;10.09.2010;08.09.2010;2.000;15980
199;DEF;AI20001003;Übung AG;500;15.10.2010;10.09.2010;08.09.2010;500;12250
101;GHI;AI20001003;Übung AG;100;15.10.2010;10.09.2010;08.09.2010;100;1500
101;GHI;AE10101682;Felix Test AG;50;12.10.2010;14.09.2010;10.09.2010;50;750
200;UVW;AE10101682;Felix Test AG;1000;12.10.2010;14.09.2010;10.09.2010;1.000;12500
101;ABC;AI20001006;Test & Partner;90;18.09.2010;28.08.2010;26.08.2010;90;719,1
101;ABC;AI20001009;Muster & Söhne;10;23.09.2010;26.08.2010;24.08.2010;10;79,9
200;UVW;AI20001004;Übungsgesellschft mbH;210;12.10.2010;14.09.2010;10.09.2010;210;2625
101;ABC;AE10101683;Dummy AG;800;13.10.2010;15.09.2010;14.09.2010;800;6392
201;XYZ;AE10101683;Dummy AG;1250;13.10.2010;21.09.2010;20.09.2010;1.250;100000
101;GHI;AI20001112;P. Robe GbR;50;23.09.2010;30.08.2010;27.08.2010;50;750
199;DEF;AI20001112;P. Robe GbR;15;23.09.2010;30.08.2010;27.08.2010;15;367,5
